date,country,device,category,product,revenue,order_cnt
2020-11-28,United States,mobile,Chairs,HENRIKSDAL,295,2
2020-12-01,India,desktop,Chairs,HENRIKSDAL,225,1
2020-12-06,United States,tablet,Chairs,HENRIKSDAL,225,1
2020-12-23,United States,desktop,Chairs,HENRIKSDAL,225,1
2020-12-30,(not set),mobile,Chairs,HENRIKSDAL,225,1
2021-01-07,United States,desktop,Chairs,HENRIKSDAL,225,1
2021-01-09,Spain,desktop,Chairs,HENRIKSDAL,225,1
2021-01-13,United States,desktop,Chairs,HENRIKSDAL,520,2
2021-01-16,United States,mobile,Chairs,HENRIKSDAL,225,1
2021-01-21,United Kingdom,mobile,Chairs,HENRIKSDAL,225,1
2021-01-22,Czechia,mobile,Chairs,HENRIKSDAL,225,1
2020-11-27,United States,desktop,Chairs,INGOLF,175,1
2020-12-04,United States,desktop,Chairs,INGOLF,175,1
2020-12-08,United States,desktop,Chairs,INGOLF,175,1
2020-12-11,Hong Kong,desktop,Chairs,INGOLF,175,1
2020-12-12,Saudi Arabia,desktop,Chairs,INGOLF,175,1
2020-12-16,Japan,desktop,Chairs,INGOLF,175,1
2021-01-03,United States,desktop,Chairs,INGOLF,175,1
2021-01-03,Canada,desktop,Chairs,INGOLF,175,1
2021-01-18,Singapore,desktop,Chairs,INGOLF,175,1
2021-01-19,Indonesia,mobile,Chairs,INGOLF,175,1
2020-11-09,India,mobile,Chairs,URBAN,225,1
2020-11-21,United States,desktop,Chairs,URBAN,225,1
2020-11-25,Vietnam,desktop,Chairs,URBAN,225,1
2020-11-25,United States,desktop,Chairs,URBAN,225,1
2020-11-29,United States,desktop,Chairs,URBAN,225,1
2020-11-30,Canada,desktop,Chairs,URBAN,225,1
2020-12-02,Romania,mobile,Chairs,URBAN,225,1
2020-12-02,United States,desktop,Chairs,URBAN,225,1
2020-12-05,Canada,desktop,Chairs,URBAN,225,1
2020-12-06,United States,desktop,Chairs,URBAN,225,1
2020-12-09,United States,mobile,Chairs,URBAN,225,1
2020-12-14,Germany,mobile,Chairs,URBAN,225,1
2020-12-19,United States,mobile,Chairs,URBAN,225,1
2020-12-21,Slovakia,mobile,Chairs,URBAN,225,1
2020-12-23,United States,desktop,Chairs,URBAN,225,1
2021-01-09,United States,mobile,Chairs,URBAN,225,1
2021-01-19,Croatia,desktop,Chairs,URBAN,225,1
2021-01-20,United States,mobile,Chairs,URBAN,225,1
2021-01-21,United States,desktop,Chairs,URBAN,225,1
2021-01-23,United States,desktop,Chairs,URBAN,225,1
2021-01-23,United States,mobile,Chairs,URBAN,225,1
2020-11-23,United States,desktop,Sofas & armchairs,KIVIK,3800,1
2020-12-09,United States,desktop,Sofas & armchairs,KIVIK,3800,1
2020-12-13,Germany,desktop,Sofas & armchairs,KIVIK,3800,1
2020-12-21,Japan,desktop,Sofas & armchairs,KIVIK,3800,1
2020-12-26,Canada,desktop,Sofas & armchairs,KIVIK,3800,1
2020-12-31,United States,desktop,Sofas & armchairs,KIVIK,3800,1
2021-01-01,Morocco,desktop,Sofas & armchairs,KIVIK,3800,1
2021-01-07,United States,mobile,Sofas & armchairs,KIVIK,3800,1
2021-01-14,United States,mobile,Sofas & armchairs,KIVIK,3800,1
2021-01-19,Singapore,desktop,Sofas & armchairs,KIVIK,3800,1
2020-11-18,South Korea,mobile,Chairs,STEFAN,85,1
2020-11-22,Singapore,desktop,Chairs,STEFAN,85,1
2020-11-30,Canada,desktop,Chairs,STEFAN,85,1
2020-12-04,United States,desktop,Chairs,STEFAN,85,1
2020-12-04,Canada,desktop,Chairs,STEFAN,85,1
2020-12-18,Taiwan,mobile,Chairs,STEFAN,85,1
2021-01-09,United States,desktop,Chairs,STEFAN,85,1
2021-01-22,Canada,mobile,Chairs,STEFAN,85,1
2020-11-15,Thailand,desktop,Chairs,GUNDE,30,1
2020-11-20,Canada,mobile,Chairs,GUNDE,30,1
2020-11-20,United States,desktop,Chairs,GUNDE,30,1
2020-12-12,Canada,mobile,Chairs,GUNDE,30,1
2020-12-15,India,desktop,Chairs,GUNDE,30,1
2020-12-19,United States,desktop,Chairs,GUNDE,30,1
2020-12-20,United States,desktop,Chairs,GUNDE,30,1
2020-12-28,Japan,desktop,Chairs,GUNDE,30,1
2021-01-17,United States,desktop,Chairs,GUNDE,30,1
2020-11-02,Canada,mobile,Beds,BRIMNES,1095,1
2020-11-06,United States,mobile,Beds,BRIMNES,1095,1
2020-11-12,United States,mobile,Beds,BRIMNES,1095,1
2020-11-16,United States,mobile,Beds,BRIMNES,1095,1
2020-11-20,United Kingdom,desktop,Beds,BRIMNES,1095,1
2020-11-21,United States,desktop,Beds,BRIMNES,1095,1
2020-11-22,United States,mobile,Beds,BRIMNES,1095,1
2020-11-26,United Kingdom,desktop,Beds,BRIMNES,1095,1
2020-11-26,Italy,desktop,Beds,BRIMNES,1095,1
2020-11-27,Mexico,desktop,Beds,BRIMNES,1095,1
2020-11-28,India,desktop,Beds,BRIMNES,1095,1
2020-11-29,United States,desktop,Beds,BRIMNES,1095,1
2020-12-02,India,mobile,Beds,BRIMNES,1095,1
2020-12-04,Pakistan,mobile,Beds,BRIMNES,1095,1
2020-12-08,United States,desktop,Beds,BRIMNES,1095,1
2020-12-12,Ukraine,tablet,Beds,BRIMNES,1095,1
2020-12-13,Peru,desktop,Beds,BRIMNES,1095,1
2020-12-24,Spain,mobile,Beds,BRIMNES,1095,1
2021-01-01,United States,desktop,Beds,BRIMNES,1095,1
2021-01-02,India,mobile,Beds,BRIMNES,1095,1
2021-01-08,India,mobile,Beds,BRIMNES,1095,1
2021-01-13,India,desktop,Beds,BRIMNES,1095,1
2021-01-20,United States,desktop,Beds,BRIMNES,1095,1
2021-01-27,United States,desktop,Beds,BRIMNES,1670,2
2020-11-02,United States,desktop,Beds,TUFFING,475,1
2020-11-03,United States,mobile,Beds,TUFFING,1120,2
2020-11-07,India,desktop,Beds,TUFFING,475,1
2020-11-13,India,desktop,Beds,TUFFING,475,1
2020-12-01,Germany,desktop,Beds,TUFFING,475,1
2020-12-07,Germany,mobile,Beds,TUFFING,475,1
2020-12-10,United States,mobile,Beds,TUFFING,475,1
2020-12-14,India,desktop,Beds,TUFFING,475,1
2020-12-26,Taiwan,mobile,Beds,TUFFING,475,1
2021-01-05,United States,mobile,Beds,TUFFING,475,1
2021-01-17,Japan,desktop,Beds,TUFFING,475,1
2021-01-18,United States,desktop,Beds,TUFFING,475,1
2020-11-03,Finland,desktop,Cabinets & cupboards,FABRIKÖR,676,1
2020-11-04,United Kingdom,desktop,Cabinets & cupboards,FABRIKÖR,676,1
2020-11-14,Canada,desktop,Cabinets & cupboards,FABRIKÖR,676,1
2020-11-25,Belgium,desktop,Cabinets & cupboards,FABRIKÖR,676,1
2020-11-30,Canada,desktop,Cabinets & cupboards,FABRIKÖR,676,1
2020-12-11,United States,desktop,Cabinets & cupboards,FABRIKÖR,676,1
2020-12-12,United States,desktop,Cabinets & cupboards,FABRIKÖR,676,1
2020-12-12,India,desktop,Cabinets & cupboards,FABRIKÖR,676,1
2021-01-10,Sweden,desktop,Cabinets & cupboards,FABRIKÖR,676,1
2021-01-18,United States,mobile,Cabinets & cupboards,FABRIKÖR,676,1
2021-01-27,Egypt,mobile,Cabinets & cupboards,FABRIKÖR,676,1
2020-11-29,Poland,mobile,Chairs,HEMNES,295,1
2020-12-07,United States,desktop,Chairs,HEMNES,295,1
2020-12-10,United States,desktop,Chairs,HEMNES,295,1
2020-12-16,United States,desktop,Chairs,HEMNES,295,1
2020-12-16,Singapore,desktop,Chairs,HEMNES,295,1
2020-12-29,Portugal,desktop,Chairs,HEMNES,295,1
2021-01-16,United States,tablet,Chairs,HEMNES,295,1
2021-01-19,Germany,desktop,Chairs,HEMNES,295,1
2021-01-19,India,mobile,Chairs,HEMNES,295,1
2021-01-26,India,desktop,Chairs,HEMNES,295,1
2020-11-04,(not set),mobile,Cabinets & cupboards,BESTÅ,225,1
2020-12-01,India,desktop,Cabinets & cupboards,BESTÅ,225,1
2020-12-08,United States,mobile,Cabinets & cupboards,BESTÅ,1205,2
2020-12-09,India,desktop,Cabinets & cupboards,BESTÅ,225,1
2020-12-27,United States,mobile,Cabinets & cupboards,BESTÅ,225,1
2021-01-05,United States,mobile,Cabinets & cupboards,BESTÅ,225,1
2021-01-09,Germany,desktop,Cabinets & cupboards,BESTÅ,225,1
2021-01-12,Poland,desktop,Cabinets & cupboards,BESTÅ,225,1
2020-11-11,Canada,desktop,Café furniture,JANINGE,225,1
2020-11-12,Canada,desktop,Café furniture,JANINGE,225,1
2020-11-19,Indonesia,desktop,Café furniture,JANINGE,225,1
2020-11-26,United States,mobile,Café furniture,JANINGE,225,1
2020-12-02,Denmark,desktop,Café furniture,JANINGE,225,1
2020-12-03,United States,desktop,Café furniture,JANINGE,225,1
2020-12-08,India,desktop,Café furniture,JANINGE,225,1
2020-12-09,United States,desktop,Café furniture,JANINGE,225,1
2020-12-10,India,tablet,Café furniture,JANINGE,225,1
2020-12-21,France,mobile,Café furniture,JANINGE,225,1
2020-12-21,India,desktop,Café furniture,JANINGE,225,1
2021-01-06,Slovakia,desktop,Café furniture,JANINGE,225,1
2021-01-14,United States,desktop,Café furniture,JANINGE,225,1
2021-01-19,United States,desktop,Café furniture,JANINGE,225,1
2021-01-19,United States,mobile,Café furniture,JANINGE,225,1
2021-01-20,United States,mobile,Café furniture,JANINGE,225,1
2021-01-21,(not set),desktop,Café furniture,JANINGE,225,1
2021-01-21,France,desktop,Café furniture,JANINGE,225,1
2020-11-28,France,desktop,Chairs,MARIUS,25,1
2020-11-30,United States,desktop,Chairs,MARIUS,25,1
2020-12-12,United States,desktop,Chairs,MARIUS,25,1
2020-12-16,United States,desktop,Chairs,MARIUS,25,1
2020-12-28,United States,desktop,Chairs,MARIUS,25,1
2021-01-06,Singapore,mobile,Chairs,MARIUS,25,1
2021-01-07,India,desktop,Chairs,MARIUS,25,1
2021-01-10,United States,desktop,Chairs,MARIUS,25,1
2021-01-15,Japan,mobile,Chairs,MARIUS,25,1
2021-01-20,Canada,mobile,Chairs,MARIUS,25,1
2020-11-05,United States,desktop,Beds,SUNDVIK,1390,2
2020-11-10,United States,desktop,Beds,SUNDVIK,695,1
2020-12-02,France,mobile,Beds,SUNDVIK,695,1
2020-12-06,India,desktop,Beds,SUNDVIK,695,1
2020-12-07,Italy,desktop,Beds,SUNDVIK,695,1
2020-12-07,Netherlands,desktop,Beds,SUNDVIK,695,1
2020-12-08,Spain,desktop,Beds,SUNDVIK,1544,2
2020-12-08,Canada,mobile,Beds,SUNDVIK,695,1
2020-12-14,United States,desktop,Beds,SUNDVIK,1544,2
2020-12-15,United States,desktop,Beds,SUNDVIK,695,1
2020-12-18,United States,mobile,Beds,SUNDVIK,695,1
2020-12-18,United States,desktop,Beds,SUNDVIK,695,1
2020-12-24,United States,desktop,Beds,SUNDVIK,1544,2
2020-12-25,Hong Kong,mobile,Beds,SUNDVIK,695,1
2020-12-30,United States,mobile,Beds,SUNDVIK,695,1
2021-01-05,United States,mobile,Beds,SUNDVIK,695,1
2021-01-06,India,mobile,Beds,SUNDVIK,695,1
2021-01-15,United Kingdom,desktop,Beds,SUNDVIK,695,1
2021-01-17,United States,mobile,Beds,SUNDVIK,695,1
2020-11-03,Denmark,desktop,Beds,MALM,445,1
2020-11-11,United States,mobile,Beds,MALM,445,1
2020-11-24,Taiwan,desktop,Beds,MALM,445,1
2020-12-02,Malaysia,desktop,Beds,MALM,445,1
2020-12-11,India,desktop,Beds,MALM,445,1
2020-12-16,Switzerland,desktop,Beds,MALM,445,1
2020-12-16,India,desktop,Beds,MALM,445,1
2020-12-29,Indonesia,mobile,Beds,MALM,445,1
2021-01-13,India,mobile,Beds,MALM,445,1
2020-11-11,United States,desktop,Tables & desks,VITTSJÖ,129,1
2020-11-17,United States,mobile,Tables & desks,VITTSJÖ,129,1
2020-11-26,Taiwan,desktop,Tables & desks,VITTSJÖ,129,1
2020-12-08,Poland,tablet,Tables & desks,VITTSJÖ,129,1
2020-12-13,United States,mobile,Tables & desks,VITTSJÖ,129,1
2020-12-18,United States,desktop,Tables & desks,VITTSJÖ,129,1
2020-12-18,Bangladesh,mobile,Tables & desks,VITTSJÖ,129,1
2020-12-23,Finland,mobile,Tables & desks,VITTSJÖ,129,1
2021-01-10,Canada,desktop,Tables & desks,VITTSJÖ,129,1
2021-01-20,United States,desktop,Tables & desks,VITTSJÖ,129,1
2020-11-06,Saudi Arabia,desktop,Tables & desks,LINNMON,59,1
2020-11-15,Canada,desktop,Tables & desks,LINNMON,59,1
2020-11-17,United States,desktop,Tables & desks,LINNMON,59,1
2020-11-22,United States,desktop,Tables & desks,LINNMON,59,1
2020-11-28,India,desktop,Tables & desks,LINNMON,59,1
2020-11-29,United States,mobile,Tables & desks,LINNMON,59,1
2020-11-30,Switzerland,desktop,Tables & desks,LINNMON,59,1
2020-12-07,India,desktop,Tables & desks,LINNMON,59,1
2020-12-08,United States,desktop,Tables & desks,LINNMON,59,1
2021-01-07,Brazil,mobile,Tables & desks,LINNMON,59,1
2021-01-07,Taiwan,desktop,Tables & desks,LINNMON,59,1
2021-01-20,United States,desktop,Tables & desks,LINNMON,59,1
2020-11-03,France,desktop,Beds,GONATT,1095,1
2020-11-05,India,desktop,Beds,GONATT,1095,1
2020-11-08,United States,mobile,Beds,GONATT,1095,1
2020-11-11,United States,desktop,Beds,GONATT,2190,2
2020-11-13,United States,mobile,Beds,GONATT,1095,1
2020-11-15,Brazil,desktop,Beds,GONATT,1095,1
2020-11-20,Jordan,mobile,Beds,GONATT,1095,1
2020-11-24,Netherlands,desktop,Beds,GONATT,1095,1
2020-11-26,Japan,desktop,Beds,GONATT,1095,1
2020-11-28,France,mobile,Beds,GONATT,1095,1
2020-12-01,Germany,mobile,Beds,GONATT,1095,1
2020-12-11,Germany,mobile,Beds,GONATT,1095,1
2020-12-19,Malaysia,mobile,Beds,GONATT,1095,1
2020-12-27,Italy,desktop,Beds,GONATT,1095,1
2020-12-27,United States,mobile,Beds,GONATT,1095,1
2021-01-04,Finland,desktop,Beds,GONATT,1095,1
2021-01-14,United States,desktop,Beds,GONATT,1095,1
2021-01-17,Singapore,mobile,Beds,GONATT,1095,1
2021-01-20,United Kingdom,desktop,Beds,GONATT,1095,1
2021-01-25,Singapore,mobile,Beds,GONATT,1095,1
2020-11-07,United States,mobile,Chairs,EKERÖ,695,1
2020-11-14,United States,desktop,Chairs,EKERÖ,695,1
2020-11-24,Canada,mobile,Chairs,EKERÖ,695,1
2020-12-03,United States,mobile,Chairs,EKERÖ,695,1
2020-12-08,United States,desktop,Chairs,EKERÖ,695,1
2020-12-17,United States,desktop,Chairs,EKERÖ,695,1
2020-12-24,United States,mobile,Chairs,EKERÖ,695,1
2021-01-02,United States,mobile,Chairs,EKERÖ,695,1
2021-01-11,Spain,desktop,Chairs,EKERÖ,695,1
2021-01-13,United States,desktop,Chairs,EKERÖ,695,1
2021-01-16,China,desktop,Chairs,EKERÖ,695,1
2021-01-24,United States,desktop,Chairs,EKERÖ,695,1
2020-11-01,Canada,mobile,Bookcases & shelving units,BILLY,370,2
2020-11-08,Spain,desktop,Bookcases & shelving units,BILLY,185,1
2020-11-16,United States,mobile,Bookcases & shelving units,BILLY,1100,2
2020-11-19,(not set),mobile,Bookcases & shelving units,BILLY,185,1
2020-11-21,United States,mobile,Bookcases & shelving units,BILLY,490,2
2020-12-08,Canada,desktop,Bookcases & shelving units,BILLY,185,1
2020-12-13,United States,mobile,Bookcases & shelving units,BILLY,205,2
2020-12-16,United States,desktop,Bookcases & shelving units,BILLY,185,1
2020-12-18,United States,mobile,Bookcases & shelving units,BILLY,185,1
2021-01-02,(not set),desktop,Bookcases & shelving units,BILLY,185,1
2021-01-06,France,mobile,Bookcases & shelving units,BILLY,185,1
2021-01-21,Canada,mobile,Bookcases & shelving units,BILLY,185,1
2020-11-05,United States,desktop,Bar furniture,BERNHARD,745,1
2020-11-11,India,mobile,Bar furniture,BERNHARD,745,1
2020-11-14,Vietnam,desktop,Bar furniture,BERNHARD,745,1
2020-11-15,United States,desktop,Bar furniture,BERNHARD,745,1
2020-11-18,United States,desktop,Bar furniture,BERNHARD,745,1
2020-11-19,France,desktop,Bar furniture,BERNHARD,745,1
2020-11-30,France,mobile,Bar furniture,BERNHARD,745,1
2020-12-05,Mexico,desktop,Bar furniture,BERNHARD,745,1
2020-12-06,South Korea,desktop,Bar furniture,BERNHARD,745,1
2020-12-09,(not set),desktop,Bar furniture,BERNHARD,745,1
2020-12-19,Ecuador,desktop,Bar furniture,BERNHARD,745,1
2021-01-03,(not set),desktop,Bar furniture,BERNHARD,745,1
2021-01-04,United States,mobile,Bar furniture,BERNHARD,745,1
2021-01-05,United States,mobile,Bar furniture,BERNHARD,745,1
2021-01-11,Netherlands,mobile,Bar furniture,BERNHARD,745,1
2021-01-11,Slovenia,mobile,Bar furniture,BERNHARD,745,1
2021-01-12,United States,desktop,Bar furniture,BERNHARD,745,1
2021-01-13,Australia,mobile,Bar furniture,BERNHARD,745,1
2021-01-16,United States,mobile,Bar furniture,BERNHARD,745,1
2021-01-17,United States,mobile,Bar furniture,BERNHARD,745,1
2021-01-22,United States,mobile,Bar furniture,BERNHARD,745,1
2021-01-26,Czechia,desktop,Bar furniture,BERNHARD,745,1
2020-11-20,United States,mobile,Bookcases & shelving units,OXBERG,490,2
2020-11-21,China,desktop,Bookcases & shelving units,OXBERG,245,1
2020-11-22,China,desktop,Bookcases & shelving units,OXBERG,245,1
2020-12-04,India,desktop,Bookcases & shelving units,OXBERG,245,1
2020-12-09,United States,mobile,Bookcases & shelving units,OXBERG,245,1
2020-12-11,United States,mobile,Bookcases & shelving units,OXBERG,245,1
2020-12-16,Saudi Arabia,mobile,Bookcases & shelving units,OXBERG,245,1
2020-12-18,Denmark,mobile,Bookcases & shelving units,OXBERG,245,1
2021-01-23,Morocco,mobile,Bookcases & shelving units,OXBERG,245,1
2021-01-27,United Kingdom,desktop,Bookcases & shelving units,OXBERG,245,1
2020-11-05,France,desktop,Bookcases & shelving units,KALLAX,195,1
2020-11-19,United States,mobile,Bookcases & shelving units,KALLAX,270,2
2020-11-25,United States,mobile,Bookcases & shelving units,KALLAX,195,1
2020-11-26,Canada,mobile,Bookcases & shelving units,KALLAX,195,1
2020-12-01,United States,desktop,Bookcases & shelving units,KALLAX,675,3
2020-12-11,Canada,desktop,Bookcases & shelving units,KALLAX,195,1
2020-12-12,Thailand,desktop,Bookcases & shelving units,KALLAX,195,1
2020-12-19,Bulgaria,mobile,Bookcases & shelving units,KALLAX,195,1
2020-12-19,South Korea,desktop,Bookcases & shelving units,KALLAX,195,1
2020-12-19,United States,desktop,Bookcases & shelving units,KALLAX,195,1
2020-12-21,Turkey,mobile,Bookcases & shelving units,KALLAX,195,1
2020-12-22,United States,desktop,Bookcases & shelving units,KALLAX,195,1
2020-12-22,United States,mobile,Bookcases & shelving units,KALLAX,695,2
2021-01-02,Ukraine,mobile,Bookcases & shelving units,KALLAX,195,1
2021-01-22,United States,desktop,Bookcases & shelving units,KALLAX,695,2
2021-01-23,Austria,mobile,Bookcases & shelving units,KALLAX,195,1
2021-01-25,Egypt,mobile,Bookcases & shelving units,KALLAX,195,1
2020-11-09,United States,desktop,Chairs,EKENÄS,995,1
2020-11-22,Canada,desktop,Chairs,EKENÄS,995,1
2020-11-23,Canada,mobile,Chairs,EKENÄS,995,1
2020-12-07,India,desktop,Chairs,EKENÄS,995,1
